method,stage,status,optimizer_steps,comparison_eligible,old_HOTA,truck_or_new_HOTA,all_HOTA,old_IDF1,truck_or_new_IDF1,all_IDF1,old_MOTA,truck_or_new_MOTA,all_MOTA,reason
R-QPLFRAME-S1,S1,COMPLETE,600,True,0.22121203819107915,0.18477938976543964,0.20299571397825938,0.1946737532511591,0.18261059054260187,0.18864217189688048,0.1007,0.0663544106167057,0.08352720530835285,
R-QPLSEG-PARENT-ER-S2,S2,COMPLETE,600,True,0.20140342154008412,0.1445546714988564,0.1824538381930082,0.18883653279704227,0.16676961087090797,0.18148089215499752,0.09954000780640125,-0.1750871080139373,0.007997635866288405,
R-QPLSEG-CURRKD-S2,S2,COMPLETE,600,True,0.21209246916146912,0.2633963941807663,0.22919377750123485,0.2076043820047057,0.33191489361702126,0.24904121920881087,0.10812112932604737,-0.09407665505226481,0.04072186786660997,
R-QPLSEG-KDPARENT-NOKD-S2,S2,COMPLETE,600,True,0.20533497211700896,0.2133754031577276,0.20801511579724852,0.19745971609426766,0.2722298221614227,0.22238308478331933,0.09143144678636482,0.07317073170731707,0.08534454176001556,
